metric,value,unit,availability,source
total_revenue,2123856.0,USD,available,Revenue
total_expenses,2096356.0,USD,available,Expenses
net_operating_result,27500.0,USD,available,Revenue - Expenses
revenue_budget_variance,-43344.0,USD,available,Budget_vs_Actual
revenue_budget_variance_pct,-0.02,ratio,available,Budget_vs_Actual
expense_budget_variance,80860.0,USD,available,Budget_vs_Actual
expense_budget_variance_pct,0.040119156773320314,ratio,available,Budget_vs_Actual
payroll_total,976973.76,USD,available,Payroll
payroll_percentage_of_revenue,0.46,ratio,available,Payroll / Revenue
student_payment_collection_rate,0.9199999665179234,ratio,available,Student_Payments
overdue_payment_percentage,0.0,ratio,available,Student_Payments
vendor_payment_total,297761.0,USD,available,Vendor_Payments
scholarship_awarded_total,116812.09,USD,available,Scholarships
net_cash_flow,50000.0,USD,available,Cash_Flow
ending_cash,1310000.0,USD,available,Cash_Flow
