metric,value,unit,availability,source
total_revenue,2032128.0,USD,available,Revenue
total_expenses,2021128.0000000002,USD,available,Expenses
net_operating_result,10999.999999999767,USD,available,Revenue - Expenses
revenue_budget_variance,-84672.0,USD,available,Budget_vs_Actual
revenue_budget_variance_pct,-0.04,ratio,available,Budget_vs_Actual
expense_budget_variance,52504.00000000023,USD,available,Budget_vs_Actual
expense_budget_variance_pct,0.026670405318638925,ratio,available,Budget_vs_Actual
payroll_total,853493.76,USD,available,Payroll
payroll_percentage_of_revenue,0.42,ratio,available,Payroll / Revenue
student_payment_collection_rate,0.9100000098418998,ratio,available,Student_Payments
overdue_payment_percentage,0.0,ratio,available,Student_Payments
vendor_payment_total,155290.0,USD,available,Vendor_Payments
scholarship_awarded_total,111767.04,USD,available,Scholarships
net_cash_flow,20000.0,USD,available,Cash_Flow
ending_cash,2750000.0,USD,available,Cash_Flow
