metric,value,unit,availability,source
total_revenue,2005584.0,USD,available,Revenue
total_expenses,2126584.0000000005,USD,available,Expenses
net_operating_result,-121000.00000000047,USD,available,Revenue - Expenses
revenue_budget_variance,-128016.0,USD,available,Budget_vs_Actual
revenue_budget_variance_pct,-0.06,ratio,available,Budget_vs_Actual
expense_budget_variance,142336.0,USD,available,Budget_vs_Actual
expense_budget_variance_pct,0.07173296886276312,ratio,available,Budget_vs_Actual
payroll_total,942624.48,USD,available,Payroll
payroll_percentage_of_revenue,0.47,ratio,available,Payroll / Revenue
student_payment_collection_rate,0.8599999911358599,ratio,available,Student_Payments
overdue_payment_percentage,1.0,ratio,available,Student_Payments
vendor_payment_total,157625.0,USD,available,Vendor_Payments
scholarship_awarded_total,110307.12,USD,available,Scholarships
net_cash_flow,-220000.0,USD,available,Cash_Flow
ending_cash,2410000.0,USD,available,Cash_Flow
