metric,value,unit,availability,source
total_revenue,2227680.0,USD,available,Revenue
total_expenses,2051680.0,USD,available,Expenses
net_operating_result,176000.0,USD,available,Revenue - Expenses
revenue_budget_variance,43680.0,USD,available,Budget_vs_Actual
revenue_budget_variance_pct,0.02,ratio,available,Budget_vs_Actual
expense_budget_variance,20559.999999999767,USD,available,Budget_vs_Actual
expense_budget_variance_pct,0.01012249399346162,ratio,available,Budget_vs_Actual
payroll_total,913348.7999999999,USD,available,Payroll
payroll_percentage_of_revenue,0.41,ratio,available,Payroll / Revenue
student_payment_collection_rate,0.9500000000000002,ratio,available,Student_Payments
overdue_payment_percentage,0.0,ratio,available,Student_Payments
vendor_payment_total,152859.0,USD,available,Vendor_Payments
scholarship_awarded_total,122522.40000000002,USD,available,Scholarships
net_cash_flow,320000.0,USD,available,Cash_Flow
ending_cash,1810000.0,USD,available,Cash_Flow
