metric,value,unit,availability,source
total_revenue,2021376.0,USD,available,Revenue
total_expenses,2213875.9999999995,USD,available,Expenses
net_operating_result,-192499.99999999953,USD,available,Revenue - Expenses
revenue_budget_variance,-129023.99999999977,USD,available,Budget_vs_Actual
revenue_budget_variance_pct,-0.059999999999999894,ratio,available,Budget_vs_Actual
expense_budget_variance,214004.0,USD,available,Budget_vs_Actual
expense_budget_variance_pct,0.10700884856630824,ratio,available,Budget_vs_Actual
payroll_total,1051115.52,USD,available,Payroll
payroll_percentage_of_revenue,0.52,ratio,available,Payroll / Revenue
student_payment_collection_rate,0.8499999821353819,ratio,available,Student_Payments
overdue_payment_percentage,1.0,ratio,available,Student_Payments
vendor_payment_total,311178.0,USD,available,Vendor_Payments
scholarship_awarded_total,111175.69000000002,USD,available,Scholarships
net_cash_flow,-350000.0,USD,available,Cash_Flow
ending_cash,1380000.0,USD,available,Cash_Flow
