anomaly_id,title,description,metric,observed_value,threshold_value,severity,period,source_file,evidence,recommended_next_check,detection_method,rule_id
ANOM-2026-07-003,Overdue student payments above limit,The share of overdue student invoices exceeds policy.,overdue_payment_percentage,100.0,6.0,critical,2026-07,finance_summary_2026_07.json,24 of 24 invoices are overdue (100.00%).,Review student receivables by aging and department.,rule_based,OVERDUE_PAYMENT_MAX
ANOM-2026-07-005,Negative or low cash flow,Net cash flow is at or below the configured minimum.,net_cash_flow,-350000.0,0.0,critical,2026-07,finance_summary_2026_07.json,"Net cash flow is $-350,000; ending cash is $1,380,000.","Review operating, scholarship, and capital cash outflows.",rule_based,NET_CASH_FLOW_MIN
ANOM-2026-07-001,Payroll exceeds revenue threshold,Payroll cost is above the configured maximum share of revenue.,payroll_percentage_of_revenue,52.0,42.0,high,2026-07,finance_summary_2026_07.json,Calculated payroll/revenue is 52.00% versus a 42.00% maximum.,"Review payroll by department, overtime, benefits, and headcount.",rule_based,PAYROLL_RATIO_MAX
ANOM-2026-07-002,Tuition collection below target,Student payment collections are below the configured minimum.,student_payment_collection_rate,84.99999821353819,94.0,high,2026-07,finance_summary_2026_07.json,"Collection rate is 85.00% from $1,237,082 paid against $1,455,391 due.","Inspect overdue invoices, aging buckets, and payment plans.",rule_based,TUITION_COLLECTION_MIN
ANOM-2026-07-004,Negative or zero operating result,Operating expenses meet or exceed operating revenue.,net_operating_result,-192499.99999999953,0.0,high,2026-07,finance_summary_2026_07.json,"Net operating result is $-192,500 on $2,021,376 of revenue.",Review revenue shortfalls and expense drivers by department.,rule_based,OPERATING_RESULT_MIN
ANOM-2026-07-006,Vendor payment exceeds review threshold,At least one vendor payment exceeds the configured review value.,maximum_vendor_payment,74500.0,50000.0,high,2026-07,finance_summary_2026_07.json,"Maximum payment is $74,500 versus a $50,000 threshold.","Inspect the underlying vendor invoice, approval, and duplicate checks.",rule_based,VENDOR_PAYMENT_REVIEW
ANOM-2026-07-013,Facilities category overspending,Expense category actual value exceeds its budget range.,category_expense_variance_pct,17.547443145056945,12.0,high,2026-07,category_summary_2026_07.csv,"Facilities actual $209,297 versus budget $178,053; variance 17.55%.",Review the category by department and underlying transactions.,rule_based,CATEGORY_OVERSPEND_FLAG
ANOM-2026-07-014,Services category overspending,Expense category actual value exceeds its budget range.,category_expense_variance_pct,17.54744314505694,12.0,high,2026-07,category_summary_2026_07.csv,"Services actual $395,339 versus budget $336,323; variance 17.55%.",Review the category by department and underlying transactions.,rule_based,CATEGORY_OVERSPEND_FLAG
ANOM-2026-07-015,Supplies category overspending,Expense category actual value exceeds its budget range.,category_expense_variance_pct,17.547448932587745,12.0,high,2026-07,category_summary_2026_07.csv,"Supplies actual $441,849 versus budget $375,890; variance 17.55%.",Review the category by department and underlying transactions.,rule_based,CATEGORY_OVERSPEND_FLAG
ANOM-2026-07-016,Technology category overspending,Expense category actual value exceeds its budget range.,category_expense_variance_pct,17.547400933759448,12.0,high,2026-07,category_summary_2026_07.csv,"Technology actual $116,276 versus budget $98,918; variance 17.55%.",Review the category by department and underlying transactions.,rule_based,CATEGORY_OVERSPEND_FLAG
ANOM-2026-07-007,Administration outside budget target range,Department expense variance is outside the configured +/- range.,department_expense_variance_pct,10.753296156122863,8.0,medium,2026-07,department_summary_2026_07.csv,Administration expense variance is 10.75% versus a +/-8.00% target.,Confirm whether the variance is timing-related or structural.,rule_based,DEPARTMENT_BUDGET_RANGE
ANOM-2026-07-008,Arts & Humanities outside budget target range,Department expense variance is outside the configured +/- range.,department_expense_variance_pct,10.753308077340282,8.0,medium,2026-07,department_summary_2026_07.csv,Arts & Humanities expense variance is 10.75% versus a +/-8.00% target.,Confirm whether the variance is timing-related or structural.,rule_based,DEPARTMENT_BUDGET_RANGE
ANOM-2026-07-009,Business outside budget target range,Department expense variance is outside the configured +/- range.,department_expense_variance_pct,10.753313658686983,8.0,medium,2026-07,department_summary_2026_07.csv,Business expense variance is 10.75% versus a +/-8.00% target.,Confirm whether the variance is timing-related or structural.,rule_based,DEPARTMENT_BUDGET_RANGE
ANOM-2026-07-010,Engineering outside budget target range,Department expense variance is outside the configured +/- range.,department_expense_variance_pct,10.753310614315977,8.0,medium,2026-07,department_summary_2026_07.csv,Engineering expense variance is 10.75% versus a +/-8.00% target.,Confirm whether the variance is timing-related or structural.,rule_based,DEPARTMENT_BUDGET_RANGE
ANOM-2026-07-011,Health Sciences outside budget target range,Department expense variance is outside the configured +/- range.,department_expense_variance_pct,10.556036091793217,8.0,medium,2026-07,department_summary_2026_07.csv,Health Sciences expense variance is 10.56% versus a +/-8.00% target.,Confirm whether the variance is timing-related or structural.,rule_based,DEPARTMENT_BUDGET_RANGE
ANOM-2026-07-012,Student Services outside budget target range,Department expense variance is outside the configured +/- range.,department_expense_variance_pct,10.753308077340279,8.0,medium,2026-07,department_summary_2026_07.csv,Student Services expense variance is 10.75% versus a +/-8.00% target.,Confirm whether the variance is timing-related or structural.,rule_based,DEPARTMENT_BUDGET_RANGE
